Original Treatment					Original Dosage			New Treatment 							New Dosage
FLEXEVIL							*						FLEXERIL								*
SUPHEDINE							*						PSEUDOEPHEDRINE							*
TRAZADONE							*						TRAZODONE HYDROCHLORIDE					*				
IBUPROPHEN							*						IBUPROFEN								*
BECLOMETASONE						*						BECLOMETHASONE DIPROPIONATE				*
BENTYL (DICYCLOMINE)				*						BENTYL									*
SELSUN BLUE							*						SELSUN									*
IMMODIUM							*						IMODIUM									*
ISOSORBIDE DINITRATE SR				*						ISOSORBIDE DINITRATE					*
LABETOLOL							*						LABETALOL								*
ALA-HIST D							*						ALAHIST D								*
COUGH SYRUP (CHILDREN)				*						COUGH SYRUP								*
NYQUIL								*						NYQUIL COUGH							*
DAYQUIL								*						DAYQUIL COUGH							*
CEFTRAXONE							*						CEFTRIAXONE								*
CYCLOBENZAPINE						*						CYCLOBENZAPRINE							*
CHLORPHENERAMINE					*						CHLORPHENIRAMINE						*
CELECOBIX							*						CELECOXIB								*
DIETHYL CARBAMAZINE					*						DIETHYLCARBAMAZINE						*
HYDROCODONE/ACETAMINOPHEN			*						ACETAMINOPHEN AND HYDROCODONE			*
SULFAMETHOXAZOLE-TRIMETHOPRIM		*						SULFAMETHOXAZOLE; TRIMETHOPRIM			*
TMP/SMZ								*						SULFAMETHOXAZOLE; TRIMETHOPRIM			*
SULFAMETHAZONE						*						SULFAMETHOXAZOLE; TRIMETHOPRIM			*
TARKA (VERAPAMIL/TRANSDOLAPRIL)		*						TARKA									*
DICLOFENAC SODIUM/MISOPROSTOL		*						DICLOFENAC SODIUM; MISOPROSTOL			*
ABX OINTMENT						*						BACITRACIN NEOMYCIN POLYMYXIN			*
ANTIBIOTIC OINTMENT					*						BACITRACIN NEOMYCIN POLYMYXIN			*
TRIPLE ANTIBIOTIC					*						BACITRACIN NEOMYCIN POLYMYXIN			*
TBX									*						BACITRACIN NEOMYCIN POLYMYXIN			*
TRIPLE PASTE						*						VUSION									*
CORTIZONE							*						HYDROCORTISONE							*
ZITHROMYCIN							*						AZITHROMYCIN							*
TRANODOL							*						TRAMADOL								*
SELENIUM SULFIDE FOAM				*						SELENIUM SULFIDE						*
PENECILLIN VK						*						PENICILLIN VK							*
ONDANSETRON HCL						*						ONDANSETRON HYDROCHLORIDE				*
NORETHRINDRONE						*						NORETHINDRONE							*
GLIBENCLAMIDE						*						GLYBURIDE								*
SINGULAIR (CHEWABLE)				*						SINGULAIR								*
PROPO-N/APAP						*						DARVOCET								*
RISPERIDOL							*						RISPERDAL								*
SOAP, LOTION, TOOTHBRUSH AND PASTE	*						SOAP									*
SOAP, LOTION						*						SOAP									*
SOAP, SHAMPOO AND/OR LOTION			*						SOAP									*
SPECIAL SOAP						*						SOAP									*
SOAP (NEUTROGENA)					*						SOAP									*
SOAP (ANTIBACTERIAL)				*						SOAP ANTIBACTERIAL						*
SHAMPOO, TOOTHBRUSH AND PASTE		*						SHAMPOO									*
SKIN CREAM							*						LOTION									*
FOSTEX								*						ACNE SOAP								*
ERYTHROMYCIN OPTHALMIC OINTMENT		*						ERYTHROMYCIN							*
DOROSATE							*						DOCUSATE								*
ORAGEL								*						ORAJEL									*
OPTIVE								*						ARTIFICIAL TEARS						*
EYE DROPS							*						ARTIFICIAL TEARS						*
EYE DROPS (ALLERGY)					*						NAPHCON A								*
OTIC DROPS							*						A/B OTIC DROPS							*
BENADRYL COLD & SINUS				*						BENADRYL ALLERGY AND SINUS				*
WOUND CARE							*						WOUND DRESSING							*
GAUZE DRESSING						*						WOUND DRESSING							*
SLING								*						CAST									*
BIRTH CONTROL PILLS					*						BREVICON								*
BROMPHENIRAMINE & PHENYEPHRINE		*						DIMETAPP								*
VITAMINS (ADULT PRE-NATAL)			*						PRENATAL VITAMINS						*
VITAMINS (CHILDREN)					*						CHILDREN'S VITAMINS						*
VITAMINS (INFANT)					*						INFANTS' VITAMINS						*
MILK PACKET							*						INFANT FORMULA							*
ENEMA								*						COLOCORT								*
CALCIUM MAGNESIUM ZINC SUPPLEMENT	*						CALCIUM MAGNESIUM AND ZINC				*
DECONGESTANT						*						PSEUDOEPHEDRINE HYDROCHLORIDE			*
HYDRATION PACKET					*						REHYDRATION SALTS						*
VITAMIN B							*						FOLIC ACID								*
SCABICIDE							*						LINDANE									*
IRON								*						FERROUS SULFATE							*
PREDINDOLINE						*						PREDNISONE								*
PRO-AIR								*						PROAIR HFA								0.09MG BASE/INH
XOPENEX								*						XOPENEX HFA								0.045MG BASE/INH
SILAPAP								*						ACETAMINOPHEN							80MG/0.8ML
HEMORRHOIDAL CREAM					*						PREPARATION H							71.9%; 14%; 0.25%
HEMORRHOIDAL SUPPOSITORY			*						PREPARATION H SUPPOSITORY				85.4%; 0.25%
CIPRODEX DROPS						*						CIPRODEX								0.3%; 0.1%
VOLTREN GEL							*						VOLTAREN								1%
ACETAMINOPHEN						N/A						ACETAMINOPHEN							500MG
ACETAMINOPHEN						81 MG					ASPIRIN									81MG
ACETAMINOPHEN						BOTTLE					ACETAMINOPHEN							160MG/5ML
ACETAMINOPHEN						4 OZ BOTTLE				ACETAMINOPHEN							160MG/5ML
ACETAMINOPHEN						100 MG					ACETAMINOPHEN							1000MG/100ML
ACETAMINOPHEN						50 MG					ACETAMINOPHEN							500MG
ACETAMINOPHEN (CHILDREN)			*						ACETAMINOPHEN							160MG/5ML
ACETAMINOPHEN (CHILDREN)			80 MG					ACETAMINOPHEN							80MG
ACETAMINOPHEN (CHILDREN)			160 MG					ACETAMINOPHEN							160MG
ACETAMINOPHEN (CHILDREN)			325 MG					ACETAMINOPHEN							325MG
ACETAMINOPHEN (INFANT)				*						ACETAMINOPHEN							80MG/0.8ML
ACNE FACE WASH						*						ACNE SOAP								*
AIR CHAMBER							*						HOLDING CHAMBER							*
ALBENDAZOLE							N/A						ALBENDAZOLE								400MG
ALBENDAZOLE							500 MG					ALBENDAZOLE								400MG
ALBENDAZOLE							100 MG					ALBENDAZOLE								200MG
ALBENDAZOLE							50 MG					ALBENDAZOLE								200MG
ALBENDAZOLE							INHALER					ALBUTEROL								0.09MG/INH
ALBUTEROL							N/A						ALBUTEROL								0.09MG/INH
AMLODIPINE							N/A						AMLODIPINE								5MG
AMLODIPINE							25 MG					AMLODIPINE								2.5MG
AMOXICILLIN							N/A						AMOXICILLIN								500MG
AMOXICILLIN							BOTTLE					AMOXICILLIN								250MG/5ML
AMOXICILLIN (CHEWABLE)				*						AMOXICILLIN								250MG
AMOXICILLIN (CHEWABLE)				400/80 MG				AMOXICILLIN								400MG
