Thanks for your help!	Progress:	55.13%	0.38%	99.24%
				
Key	English (PLEASE TRY TO PRESERVE PUNCTUATION/CAPITALIZATION)	Kreyol	French	Spanish
  ABDOMINAL_PAIN	Abdominal Pain	Doulè nan vant		Dolor abdominal
  ABOUT	About	De		Acerca de
  ACID_REFLUX	Acid Reflux	Asid		Reflujo gástrico
  ADD	Add	Ajouter	Ajouter	Añada
  NEW_DIRECTIVE	Add new directive	Ajouter nouvelle directive		Añada una directiva nueva
  ADD_LANGUAGE	Add new language...	Ajouter nouveau langage		Añada un idioma nuevo
  ENUM_ADD_NEW	Add new value...	 Nouveau valeur		Añada un valor nuevo
  ADD_PHRASE	Add Phrase	Ajouter phrase		Añada una frase nueva
  ADD_RESULTS	Add Results	Ajouter resultat		Añada los resultos
  ADDRESS	Address	Adresse		Dirección
  AGE	Age	Age		Edad
  AIDS	AIDS	SIDA		SIDA
  ALL_DATA	All data	Tout enfomasyon		Toda la información
  ALL_MEDICATIONS	All Medications	Tout medicaman		Todas las medicinas
  ALLERGY	Allergy	Aleji		Alergia
  ALTERNATE_PHONE	Alternate Phone	Telefon alternatif		Otro número de teléfono
  ANEMIA	Anemia	Anemi		Anemia
  CONFIRM_PROMPT	Are you sure you want to 	Eske ou sure ke ou vle		¿Está seguro/a que quiere
  ASTHMA	Asthma	Opresyon		Asma
  BIRTH_YEAR	Birth Year	Anne de naissance		Año de nacimiento
  BLOOD	Blood	San		Sangre
  BLOOD_GLUCOSE	Blood Glucose	Sucre nan san		Azúcar
  BLOOD_PRESSURE	Blood Pressure	Tansyon san		Presión
  BMI	BMI	IKP		Indice de masa corporal
  BOTH	both	tou deux		ambos
  BOTTLE	bottle of	bouteille		botella de
  QTY_BOT_PACK_TUBE	bottle/pack/tube of	boutèy/pakèt/tube		botella/paquete/tubo de
  CANCEL	Cancel	Terminé		Cancela
  CATEOGRY	Category	Kategori		Categoría
  CHILDREN	Children	Timoune		Los niños
  CHILDREN_AGES	Children's Ages	Age timoune yo		Las edades de los niños
  CHURCH_MEMBER	Church Member	Membre L'eglise		Un miembro de la iglesia
  CITY	City	Ville		Ciudad
  CLINIC_TEAM	Clinic Team	Ekip klinik la		Equipo de la clínica
  COLD	Cold	Grip		Gripe
  COLLAPSE_ALL	Collapse All			Reduzca todos
  COMMENTS	Comments	Commentaire		Comentarios
  COMMUNITY	Community	Komin 		Comunidad
  CONFIRM	Confirm	Confirmé		Confirma
  CONTACT_INFORMATION	Contact Information	Enfomasyon 		Información de contacto
  COUGH	Cough	Tous		La tos
  COUNTRY	Country	Peyi		El país
  CURRENT_MEDICATIONS	Current Medications	Medikaman ou pran kounya		Las medicinas que está tomando
  ERROR_LAST_SEARCH	Current search is the most recent			Esta búsqueda es la mas reciente
  CUSTOM	Custom	Personnalisé		Personalizada
  DATE	Date	Dat		Fecha
  DOB	Date of Birth	Dat de naissance		Fecha de nacimiento
  NO_DOB	Date of birth not provided	Dat de naissance inconnue		Fecha de nacimiento no está disponible
  DAY	Day	Jou		Día
  DECEASED	Deceased	Mò		Difunto
  DELETE_DIRECTIVE	Delete directive	Efase directive sa		Borre la directiva
  DELETE_PATIENT	Delete Patient	Efase patient sa		Borre el paciente
  DELETE_PHRASE	Delete Phrase	Efase phrase sa		Borre la frase
  DELETE_PRESCRIPTION	Delete Prescription	Efase preskripsyon sa		Borre la receta
  DELETE_VISIT	Delete Visit	Efase visite sa		Borre la cita
  DEPRESSION_ANXIETY	Depression/Anxiety	Kè mare		Depresión
  DIABETES	Diabetes	Dyabèt		Diabetes
  DIAGNOSIS	Diagnosis	Diagnostic		Diagnóstico
  DIARRHEA	Diarrhea	Dyare		Diarrea
  DIASTOLIC	Diastolic			Diastólico
  DIRECTIVE	Directive	Directive		Directiva
  DIRECTIVES	Directives/Patient Instructions	Instructions pou patient an		Directivas/Las instrucciónes para el paciente
DIVORCED	Divorced	Divorcé		Divorciado/a
  CONFIRM_SAVE	Do you want to save your changes?	Eske ou vle sauvegarder chanjman sa yo?		¿Quiere guardar los cambios?
  DOSAGE	Dosage	Dosage		Dosis
  EAR	ear	Z'oreille		Oreja
  EDIT	Edit			Modifique
  EDIT_DICTIONARY	Edit Dictionary			Modifique el diccionario
  NEXT_DIRECTIVE	Edit next directive			Modifique la próxima directiva
  EDIT_PATIENT	Edit Patient			Modifique el paciente
  EDIT_PRESCRIPTION	Edit Prescription			Modifique la receta
  PREVIOUS_DIRECTIVE	Edit previous directive			Modifique la directiva anterior
  EDIT_TRANSLATION	Edit Translation			Modifique la traducción
  EDIT_VISIT	Edit Visit			Modifique la cita
  EDUCATION	Education			Educación
  EDUCATION_GIVEN	Education given to the patient			Educación para el paciente
  E_MAIL	E-mail			El correo electrónico
  EPILEPSY_SEIZURES	Epilepsy/Seizures	Kriz malkadi		Epilepsia/convulsiones/ataques epilépticos
  ERROR_EXPORT_TO_EXCEL	Error exporting to Excel: 			Un error de sacar a Excel:
  ERROR_SAVING	Error saving: 			Un error al guardar:
  ERROR	Error: 			Un error:
  ERROR_TOO_MANY_ROWS	Exceeded number of rows allowed in Excel worksheet			Ha sobrepasado el número de filas permitadas en la hoja de Excel
  EXCLUDE_DECEASED	Exclude deceased patients			Excluya los pacientes difuntos
  EXIT	Exit 			Salga
  EXPAND_ALL	Expand All			Amplía todos
  EXPORT	Export			Exporte
  EXPORT_DIR_REPORT	Export directive (sticker) report			Exporte el reporte de los directivos
  EXPORT_MED_REPORT	Export medicine report			Exporte el reporte de las medicinas
  EXPORT_TO_HTML	Export to HTML			Exporte a HTML
  EXPORT_TO_EXCEL	Export to Microsoft Excel			Exporte a Microsoft Excel
  EXPORTING	Exporting to			Exportando a
  EYE	eye	Zye		ojo
  EYE_CONDITION	Eye Condition	Pwoblèm zye		Condición del ojo
FEMALE	Female	Femme		Femenina
  FEVER	Fever	Lafyèv		Fiebre
  SEARCH_FIELDS	Fields to search			Campos para buscar
  FILARIASIS	Filariasis	Filaryoz		Filariosis
  FILE	File			Archivo
  FIND	Find			Encuentre
  FIRST_NAME	First Name	Non		Nombre
  FOLLOW_UP_COMMENTS	Follow-up and Comments			Instrucciones para el regreso y Comentarios
